city,occupation,0
"Gettysburg, PA",Food Preparation and Serving Related,421.0
"Gettysburg, PA",Sales and Related,266.0
"Gettysburg, PA",Office and Administrative Support,465.0
"Sierra Vista-Douglas, AZ",Legal,12.0
"Sierra Vista-Douglas, AZ","Life, Physical, and Social Science",40.0
"Sierra Vista-Douglas, AZ","Arts, Design, Entertainment, Sports, and Media",24.0
"Sierra Vista-Douglas, AZ",Community and Social Service,32.0
"Sierra Vista-Douglas, AZ",Architecture and Engineering,63.0
"Sierra Vista-Douglas, AZ",Protective Service,244.0
"Sierra Vista-Douglas, AZ",Healthcare Support,65.0
"Sierra Vista-Douglas, AZ",Building and Grounds Cleaning and Maintenance,91.0
"Sierra Vista-Douglas, AZ",Computer and Mathematical,176.0
"Sierra Vista-Douglas, AZ",Personal Care and Service,115.0
"Sierra Vista-Douglas, AZ","Installation, Maintenance, and Repair",111.0
"Sierra Vista-Douglas, AZ",Construction and Extraction,98.0
"Sierra Vista-Douglas, AZ",Management,199.0
"Sierra Vista-Douglas, AZ",Business and Financial Operations,235.0
"Sierra Vista-Douglas, AZ",Production,59.0
"Sierra Vista-Douglas, AZ",Healthcare Practitioners and Technical,139.0
"Sierra Vista-Douglas, AZ","Education, Training, and Library",266.0
"Sierra Vista-Douglas, AZ",Transportation and Material Moving,124.0
"Sierra Vista-Douglas, AZ",Food Preparation and Serving Related,316.0
"Sierra Vista-Douglas, AZ",Sales and Related,296.0
"Sierra Vista-Douglas, AZ",Office and Administrative Support,537.0
"Pocatello, ID",Legal,20.0
"Pocatello, ID","Life, Physical, and Social Science",33.0
"Pocatello, ID","Arts, Design, Entertainment, Sports, and Media",37.0
"Pocatello, ID",Community and Social Service,89.0
"Pocatello, ID",Architecture and Engineering,52.0
"Pocatello, ID",Protective Service,59.0
"Pocatello, ID",Healthcare Support,94.0
"Pocatello, ID",Building and Grounds Cleaning and Maintenance,130.0
"Pocatello, ID",Computer and Mathematical,41.0
"Pocatello, ID",Personal Care and Service,131.0
"Pocatello, ID","Installation, Maintenance, and Repair",125.0
"Pocatello, ID",Construction and Extraction,123.0
"Pocatello, ID",Management,189.0
"Pocatello, ID",Business and Financial Operations,149.0
"Pocatello, ID",Production,122.0
"Pocatello, ID",Healthcare Practitioners and Technical,205.0
"Pocatello, ID","Education, Training, and Library",304.0
"Pocatello, ID",Transportation and Material Moving,139.0
"Pocatello, ID",Food Preparation and Serving Related,313.0
"Pocatello, ID",Sales and Related,341.0
"Pocatello, ID",Office and Administrative Support,571.0
"Bay City, MI",Legal,15.0
"Bay City, MI","Life, Physical, and Social Science",16.0
"Bay City, MI","Arts, Design, Entertainment, Sports, and Media",31.0
"Bay City, MI",Community and Social Service,67.0
"Bay City, MI",Architecture and Engineering,30.0
"Bay City, MI",Protective Service,50.0
"Bay City, MI",Healthcare Support,186.0
"Bay City, MI",Building and Grounds Cleaning and Maintenance,93.0
"Bay City, MI",Computer and Mathematical,0.0
"Bay City, MI",Personal Care and Service,90.0
"Bay City, MI","Installation, Maintenance, and Repair",180.0
"Bay City, MI",Construction and Extraction,92.0
"Bay City, MI",Management,130.0
"Bay City, MI",Business and Financial Operations,106.0
"Bay City, MI",Production,278.0
"Bay City, MI",Healthcare Practitioners and Technical,252.0
"Bay City, MI","Education, Training, and Library",177.0
"Bay City, MI",Transportation and Material Moving,209.0
"Bay City, MI",Food Preparation and Serving Related,431.0
"Bay City, MI",Sales and Related,414.0
"Bay City, MI",Office and Administrative Support,487.0
"Midland, MI",Legal,10.0
"Midland, MI","Life, Physical, and Social Science",0.0
"Midland, MI","Arts, Design, Entertainment, Sports, and Media",40.0
"Midland, MI",Community and Social Service,39.0
"Midland, MI",Architecture and Engineering,66.0
"Midland, MI",Protective Service,44.0
"Midland, MI",Healthcare Support,107.0
"Midland, MI",Building and Grounds Cleaning and Maintenance,155.0
"Midland, MI",Computer and Mathematical,57.0
"Midland, MI",Personal Care and Service,125.0
"Midland, MI","Installation, Maintenance, and Repair",115.0
"Midland, MI",Construction and Extraction,188.0
"Midland, MI",Management,179.0
"Midland, MI",Business and Financial Operations,180.0
"Midland, MI",Production,317.0
"Midland, MI",Healthcare Practitioners and Technical,251.0
"Midland, MI","Education, Training, and Library",225.0
"Midland, MI",Transportation and Material Moving,134.0
"Midland, MI",Food Preparation and Serving Related,277.0
"Midland, MI",Sales and Related,336.0
"Midland, MI",Office and Administrative Support,554.0
"Sumter, SC",Legal,15.0
"Sumter, SC","Life, Physical, and Social Science",23.0
"Sumter, SC","Arts, Design, Entertainment, Sports, and Media",12.0
"Sumter, SC",Community and Social Service,0.0
"Sumter, SC",Architecture and Engineering,38.0
"Sumter, SC",Protective Service,114.0
"Sumter, SC",Healthcare Support,144.0
"Sumter, SC",Building and Grounds Cleaning and Maintenance,146.0
"Sumter, SC",Computer and Mathematical,43.0
"Sumter, SC",Personal Care and Service,88.0
"Sumter, SC","Installation, Maintenance, and Repair",171.0
"Sumter, SC",Construction and Extraction,158.0
"Sumter, SC",Management,139.0
"Sumter, SC",Business and Financial Operations,98.0
"Sumter, SC",Production,408.0
"Sumter, SC",Healthcare Practitioners and Technical,205.0
"Sumter, SC","Education, Training, and Library",197.0
"Sumter, SC",Transportation and Material Moving,285.0
"Sumter, SC",Food Preparation and Serving Related,341.0
"Sumter, SC",Sales and Related,367.0
"Sumter, SC",Office and Administrative Support,492.0
"Longview, WA",Legal,15.0
"Longview, WA","Life, Physical, and Social Science",33.0
"Longview, WA","Arts, Design, Entertainment, Sports, and Media",23.0
"Longview, WA",Community and Social Service,68.0
"Longview, WA",Architecture and Engineering,40.0
"Longview, WA",Protective Service,48.0
"Longview, WA",Healthcare Support,116.0
"Longview, WA",Building and Grounds Cleaning and Maintenance,107.0
"Longview, WA",Computer and Mathematical,30.0
"Longview, WA",Personal Care and Service,95.0
"Longview, WA","Installation, Maintenance, and Repair",211.0
"Longview, WA",Construction and Extraction,191.0
"Longview, WA",Management,140.0
"Longview, WA",Business and Financial Operations,97.0
"Longview, WA",Production,307.0
"Longview, WA",Healthcare Practitioners and Technical,201.0
"Longview, WA","Education, Training, and Library",233.0
"Longview, WA",Transportation and Material Moving,371.0
"Longview, WA",Food Preparation and Serving Related,348.0
"Longview, WA",Sales and Related,370.0
"Longview, WA",Office and Administrative Support,473.0
"Hot Springs, AR",Legal,17.0
"Hot Springs, AR","Life, Physical, and Social Science",11.0
"Hot Springs, AR","Arts, Design, Entertainment, Sports, and Media",22.0
"Hot Springs, AR",Community and Social Service,66.0
"Hot Springs, AR",Architecture and Engineering,25.0
"Hot Springs, AR",Protective Service,77.0
"Hot Springs, AR",Healthcare Support,139.0
"Hot Springs, AR",Building and Grounds Cleaning and Maintenance,146.0
"Hot Springs, AR",Computer and Mathematical,19.0
"Hot Springs, AR",Personal Care and Service,116.0
"Hot Springs, AR","Installation, Maintenance, and Repair",154.0
"Hot Springs, AR",Construction and Extraction,141.0
"Hot Springs, AR",Management,152.0
"Hot Springs, AR",Business and Financial Operations,79.0
"Hot Springs, AR",Production,195.0
"Hot Springs, AR",Healthcare Practitioners and Technical,316.0
"Hot Springs, AR","Education, Training, and Library",160.0
"Hot Springs, AR",Transportation and Material Moving,170.0
"Hot Springs, AR",Food Preparation and Serving Related,466.0
"Hot Springs, AR",Sales and Related,546.0
"Hot Springs, AR",Office and Administrative Support,518.0
"Great Falls, MT",Legal,28.0
"Great Falls, MT","Life, Physical, and Social Science",27.0
"Great Falls, MT","Arts, Design, Entertainment, Sports, and Media",55.0
"Great Falls, MT",Community and Social Service,71.0
"Great Falls, MT",Architecture and Engineering,35.0
"Great Falls, MT",Protective Service,60.0
"Great Falls, MT",Healthcare Support,118.0
"Great Falls, MT",Building and Grounds Cleaning and Maintenance,155.0
"Great Falls, MT",Computer and Mathematical,63.0
"Great Falls, MT",Personal Care and Service,120.0
"Great Falls, MT","Installation, Maintenance, and Repair",195.0
"Great Falls, MT",Construction and Extraction,201.0
"Great Falls, MT",Management,97.0
"Great Falls, MT",Business and Financial Operations,175.0
"Great Falls, MT",Production,103.0
"Great Falls, MT",Healthcare Practitioners and Technical,265.0
"Great Falls, MT","Education, Training, and Library",241.0
"Great Falls, MT",Transportation and Material Moving,205.0
"Great Falls, MT",Food Preparation and Serving Related,390.0
"Great Falls, MT",Sales and Related,434.0
"Great Falls, MT",Office and Administrative Support,531.0
"Gadsden, AL",Legal,8.0
"Gadsden, AL","Life, Physical, and Social Science",6.0
"Gadsden, AL","Arts, Design, Entertainment, Sports, and Media",14.0
"Gadsden, AL",Community and Social Service,51.0
"Gadsden, AL",Architecture and Engineering,22.0
"Gadsden, AL",Protective Service,78.0
"Gadsden, AL",Healthcare Support,179.0
"Gadsden, AL",Building and Grounds Cleaning and Maintenance,90.0
"Gadsden, AL",Computer and Mathematical,9.0
"Gadsden, AL",Personal Care and Service,124.0
"Gadsden, AL","Installation, Maintenance, and Repair",137.0
"Gadsden, AL",Construction and Extraction,136.0
"Gadsden, AL",Management,81.0
"Gadsden, AL",Business and Financial Operations,65.0
"Gadsden, AL",Production,646.0
"Gadsden, AL",Healthcare Practitioners and Technical,327.0
"Gadsden, AL","Education, Training, and Library",199.0
"Gadsden, AL",Transportation and Material Moving,218.0
"Gadsden, AL",Food Preparation and Serving Related,335.0
"Gadsden, AL",Sales and Related,390.0
"Gadsden, AL",Office and Administrative Support,471.0
"Elmira, NY",Legal,16.0
"Elmira, NY","Life, Physical, and Social Science",10.0
"Elmira, NY","Arts, Design, Entertainment, Sports, and Media",32.0
"Elmira, NY",Community and Social Service,77.0
"Elmira, NY",Architecture and Engineering,55.0
"Elmira, NY",Protective Service,135.0
"Elmira, NY",Healthcare Support,108.0
"Elmira, NY",Building and Grounds Cleaning and Maintenance,116.0
"Elmira, NY",Computer and Mathematical,31.0
"Elmira, NY",Personal Care and Service,110.0
"Elmira, NY","Installation, Maintenance, and Repair",165.0
"Elmira, NY",Construction and Extraction,145.0
"Elmira, NY",Management,138.0
"Elmira, NY",Business and Financial Operations,79.0
"Elmira, NY",Production,336.0
"Elmira, NY",Healthcare Practitioners and Technical,280.0
"Elmira, NY","Education, Training, and Library",201.0
"Elmira, NY",Transportation and Material Moving,300.0
"Elmira, NY",Food Preparation and Serving Related,337.0
"Elmira, NY",Sales and Related,406.0
"Elmira, NY",Office and Administrative Support,529.0
"Cumberland, MD-WV",Legal,13.0
"Cumberland, MD-WV","Life, Physical, and Social Science",18.0
"Cumberland, MD-WV","Arts, Design, Entertainment, Sports, and Media",18.0
"Cumberland, MD-WV",Community and Social Service,83.0
"Cumberland, MD-WV",Architecture and Engineering,44.0
"Cumberland, MD-WV",Protective Service,146.0
"Cumberland, MD-WV",Healthcare Support,129.0
"Cumberland, MD-WV",Building and Grounds Cleaning and Maintenance,100.0
